Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"07-Nov-2023","10520","10985","10520","10788","871k","94.15m","10.80772k","2,328","1",
"06-Nov-2023","10720","10982","10720","10939","570k","62.29m","10.92752k","1,956","1",
"03-Nov-2023","11000","11000","10669","10879","878k","95.22m","10.85241k","1,979","1",
"02-Nov-2023","10472","10791","10472","10767","582k","62.14m","10.67614k","2,076","1",
"01-Nov-2023","10331","10525","10331","10492","806k","84.29m","10.45492k","1,760","1",
"31-Oct-2023","10519","10519","10125","10328","404k","41.86m","10.36094k","1,554","1",
"30-Oct-2023","10050","10389","10037","10264","712k","73.01m","10.25311k","932","1",
"27-Oct-2023","10085","10178","10009","10076","782k","78.89m","10.09206k","2,226","1",
"26-Oct-2023","10245","10245","9942","10164","623k","62.91m","10.09161k","2,639","1",
"25-Oct-2023","10383","10419","10213","10329","672k","69.39m","10.31823k","2,480","1",
"24-Oct-2023","10500","10600","10374","10481","341k","35.74m","10.47456k","1,179","1",
"23-Oct-2023","10300","10531","10278","10517","604k","62.97m","10.42561k","2,010","1",
"20-Oct-2023","11345","11345","10309","10384","549k","57.37m","10.44554k","2,108","1",
"19-Oct-2023","11089","11089","10667","10739","431k","46.27m","10.74763k","1,415","1",
"18-Oct-2023","10800","11069","10740","10872","368k","39.92m","10.83952k","1,119","1",
"17-Oct-2023","10850","10925","10699","10916","484k","52.62m","10.86966k","1,885","1",
"16-Oct-2023","10892","10924","10717","10880","527k","57.14m","10.83341k","1,760","1",
"13-Oct-2023","11196","11268","10876","10900","484k","53.22m","10.99513k","1,918","1",
"12-Oct-2023","11211","11290","11117","11205","444k","49.76m","11.19671k","1,726","1",
"11-Oct-2023","11090","11255","11090","11188","677k","75.73m","11.1854k","2,592","1",
"10-Oct-2023","10743","11090","10709","11090","1m","109.98m","10.97397k","5,171","1",
"09-Oct-2023","10545","10910","10545","10685","748k","80.09m","10.70504k","2,824","1",
"06-Oct-2023","10867","10945","10738","10842","470k","50.97m","10.85582k","1,881","1",
"05-Oct-2023","10555","10888","10530","10866","722k","78.1m","10.81244k","1,767","1",
"04-Oct-2023","10884","10884","10333","10527","526k","55.56m","10.55746k","2,409","1",
"03-Oct-2023","10550","10761","10469","10613","898k","95.43m","10.62804k","4,623","1",
"02-Oct-2023","11048","11199","10577","10577","896k","96.14m","10.72508k","3,304","1",
"29-Sep-2023","11085","11262","11020","11117","929k","103.28m","11.12027k","2,839","1",
"28-Sep-2023","11106","11292","11104","11122","587k","65.5m","11.15239k","2,738","1",
"27-Sep-2023","11347","11350","11092","11149","727k","81.51m","11.20779k","2,790","1",
"26-Sep-2023","11115","11299","11011","11238","900k","100.7m","11.18262k","2,137","1",
"25-Sep-2023","0","0","0","11185","0","0","0","0","1",
"22-Sep-2023","10767","11286","10750","11185","863k","96.35m","11.16166k","2,466","1",
"21-Sep-2023","10700","10982","10700","10918","3m","277.19m","10.82649k","2,314","1",
"20-Sep-2023","10599","10799","10550","10799","966k","103.62m","10.72227k","2,532","1",
"19-Sep-2023","10628","10699","10481","10559","849k","89.55m","10.5518k","2,703","1",
"18-Sep-2023","10778","10862","10692","10692","570k","61.32m","10.7669k","1,805","1",
"15-Sep-2023","11165","11230","10869","10869","2m","231.35m","10.90668k","2,441","1",
"14-Sep-2023","10966","11105","10904","11077","547k","60.26m","11.012k","2,098","1",
"13-Sep-2023","10769","11024","10769","11015","582k","63.88m","10.97185k","1,558","1",
"12-Sep-2023","11237","11272","11012","11047","492k","54.48m","11.06993k","1,483","1",
"11-Sep-2023","11243","11305","11147","11250","791k","88.84m","11.23161k","2,219","1",
"08-Sep-2023","11080","11143","10980","11099","616k","68.2m","11.06474k","1,680","1",
"07-Sep-2023","10972","11179","10972","11080","487k","53.97m","11.08441k","1,624","1",
"06-Sep-2023","11299","11299","11071","11151","672k","74.99m","11.15125k","1,522","1",
