Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"14-Jun-2023","16315","16680","16222","16597","5m","757.46m","16.5582k","13,747","1",
"13-Jun-2023","16130","16390","16027","16389","4m","729.5m","16.27382k","14,220","1",
"12-Jun-2023","16289","16513","15890","16010","4m","637.55m","16.07948k","11,246","1",
"09-Jun-2023","16300","16710","16252","16414","5m","869.37m","16.48846k","11,742","1",
"08-Jun-2023","16300","16591","16208","16272","5m","769.78m","16.36053k","13,966","1",
"07-Jun-2023","16000","16431","15919","16289","4m","590.62m","16.24978k","12,524","1",
"06-Jun-2023","15779","15986","15656","15986","4m","649.14m","15.8331k","9,272","1",
"05-Jun-2023","15700","15834","15443","15823","5m","706.64m","15.67836k","10,665","1",
"02-Jun-2023","15600","15790","15358","15613","6m","857.68m","15.57024k","19,012","1",
"01-Jun-2023","15545","15670","15352","15528","3m","493.08m","15.5137k","10,676","1",
"31-May-2023","15318","15818","15219","15383","10m","1.51b","15.44081k","14,480","1",
"30-May-2023","15783","15804","15311","15318","3m","485.75m","15.46849k","7,233","1",
"29-May-2023","15800","15881","15659","15783","1m","195.91m","15.7664k","4,661","1",
"26-May-2023","15841","15931","15446","15865","3m","402.88m","15.75024k","9,730","1",
"25-May-2023","16000","16133","15747","15886","3m","438.9m","15.91745k","8,509","1",
"24-May-2023","15750","16184","15750","16007","3m","507.27m","16.02703k","8,011","1",
"23-May-2023","15970","16187","15861","16109","4m","582.36m","16.08332k","9,666","1",
"22-May-2023","16100","16281","15762","16100","3m","412.79m","16.11398k","8,787","1",
"19-May-2023","15800","16090","15642","15889","4m","577.13m","15.89392k","6,565","1",
"18-May-2023","15715","15844","15480","15681","4m","621.8m","15.64605k","11,292","1",
"17-May-2023","15658","15913","15533","15714","2m","368.67m","15.68472k","8,508","1",
"16-May-2023","16010","16142","15786","15873","2m","367.71m","15.93175k","7,134","1",
"15-May-2023","15860","15979","15746","15922","3m","445.29m","15.89206k","8,552","1",
"12-May-2023","15450","15900","15070","15820","5m","787.68m","15.66289k","16,745","1",
"11-May-2023","16210","16318","15229","15576","5m","796.95m","15.69898k","17,529","1",
"10-May-2023","16348","16517","16101","16210","3m","451.61m","16.23769k","12,384","1",
"09-May-2023","16666","16684","16479","16531","3m","439.68m","16.55892k","7,043","1",
"08-May-2023","16604","16863","16538","16650","2m","380.48m","16.67486k","6,476","1",
"05-May-2023","16448","16624","16116","16449","5m","793.95m","16.3787k","10,515","1",
"04-May-2023","17000","17000","16000","16209","4m","675.88m","16.31268k","10,176","1",
"03-May-2023","17040","17040","16600","16831","3m","518.98m","16.77679k","10,284","1",
"02-May-2023","17875","17875","16830","16894","6m","971.17m","17.13231k","12,358","1",
"01-May-2023","0","0","0","17764","0","0","0","0","1",
"28-Apr-2023","17600","17766","17325","17764","3m","498.19m","17.66573k","6,641","1",
"27-Apr-2023","0","0","0","17598","0","0","0","0","1",
"26-Apr-2023","17452","17629","17243","17598","5m","826.5m","17.51415k","8,108","1",
"25-Apr-2023","17461","17800","17341","17427","3m","587.55m","17.50367k","9,233","1",
"24-Apr-2023","17719","17781","17368","17557","1m","255.17m","17.57608k","5,105","1",
"21-Apr-2023","17588","17916","17481","17585","2m","411.88m","17.60905k","6,752","1",
"20-Apr-2023","17728","17830","17464","17755","2m","313.37m","17.67833k","5,499","1",
"19-Apr-2023","17507","17699","17150","17611","3m","482.18m","17.50387k","8,015","1",
"18-Apr-2023","18355","18564","18064","18176","3m","548.09m","18.23028k","8,057","1",
"17-Apr-2023","18616","18786","18265","18343","3m","512.27m","18.40906k","5,090","1",
"14-Apr-2023","18477","18690","18380","18654","2m","415.07m","18.58017k","6,810","1",
"13-Apr-2023","18660","18780","18401","18503","5m","860.98m","18.52465k","9,765","1",
"12-Apr-2023","18351","18801","18200","18661","4m","796.46m","18.63527k","6,582","1",
"11-Apr-2023","18290","18884","18290","18554","3m","630.46m","18.61861k","9,023","1",
"10-Apr-2023","0","0","0","18405","0","0","0","0","1",
"07-Apr-2023","0","0","0","18405","0","0","0","0","1",
"06-Apr-2023","18300","18523","18180","18405","1m","254.17m","18.38841k","5,561","1",
"05-Apr-2023","18870","18870","18315","18340","2m","372.03m","18.43247k","7,188","1",
"04-Apr-2023","18645","18875","18388","18679","2m","294.98m","18.70551k","4,350","1",
"03-Apr-2023","18218","18598","18215","18460","2m","363.46m","18.45816k","5,112","1",
"31-Mar-2023","18088","18374","18012","18178","2m","360.98m","18.1671k","4,627","1",
"30-Mar-2023","18147","18541","18147","18323","1m","190.22m","18.39024k","3,529","1",
"29-Mar-2023","18550","18550","18240","18367","2m","326.69m","18.37347k","3,453","1",
"28-Mar-2023","17901","18528","17901","18317","3m","497.71m","18.36069k","8,060","1",
"27-Mar-2023","18200","18200","17840","17933","2m","279.42m","17.97867k","3,964","1",
"24-Mar-2023","18000","18000","17419","17708","3m","574.9m","17.67006k","8,387","1",
"23-Mar-2023","17805","18196","17759","18073","4m","728.24m","18.05051k","9,180","1",
"22-Mar-2023","17500","18043","17500","17970","5m","979.2m","17.92984k","12,551","1",
"21-Mar-2023","0","0","0","17265","0","0","0","0","1",
