Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"26-Oct-2023","2430","2430","2371","2373","73k","1.75m","2.3929k","166","1",
"25-Oct-2023","2494","2494","2406","2430","150k","3.66m","2.43866k","299","1",
"24-Oct-2023","2475","2494","2434","2466","1m","27.51m","2.45904k","136","1",
"23-Oct-2023","2470","2476","2431","2450","46k","1.13m","2.45172k","101","1",
"20-Oct-2023","2495","2519","2350","2433","107k","2.62m","2.43956k","146","1",
"19-Oct-2023","2500","2500","2375","2471","213k","5.2m","2.43674k","328","1",
"18-Oct-2023","2583","2583","2449","2449","190k","4.7m","2.47857k","161","1",
"17-Oct-2023","2550","2600","2481","2524","185k","4.75m","2.55431k","268","1",
"16-Oct-2023","2450","2630","2442","2569","1m","37.14m","2.55209k","323","1",
"13-Oct-2023","2484","2485","2450","2450","47k","1.16m","2.46476k","134","1",
"12-Oct-2023","2501","2549","2500","2520","137k","3.47m","2.52259k","265","1",
"11-Oct-2023","2535","2535","2475","2499","219k","5.47m","2.50887k","193","1",
"10-Oct-2023","2550","2591","2515","2516","211k","5.36m","2.54454k","201","1",
"09-Oct-2023","2710","2710","2510","2510","97k","2.5m","2.5749k","203","1",
"06-Oct-2023","2700","2700","2626","2665","67k","1.78m","2.68035k","212","1",
"05-Oct-2023","2742","2742","2678","2678","135k","3.64m","2.70382k","95","1",
"04-Oct-2023","2757","2798","2741","2741","374k","10.38m","2.74424k","57","1",
"03-Oct-2023","2837","2837","2796","2796","88k","2.47m","2.80978k","147","1",
"02-Oct-2023","2840","2858","2764","2810","141k","3.98m","2.82599k","250","1",
"29-Sep-2023","2839","2839","2799","2825","170k","4.79m","2.81412k","296","1",
"28-Sep-2023","2757","2832","2756","2809","249k","6.91m","2.79518k","78","1",
"27-Sep-2023","2775","2829","2769","2800","164k","4.59m","2.79883k","117","1",
"26-Sep-2023","2942","2942","2778","2800","421k","11.78m","2.80121k","409","1",
"25-Sep-2023","0","0","0","2862","0","0","0","0","1",
